City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,biltine,14.5333,20.9167,34.88,21,100,3.93,TD,2024-06-27
115,ilulissat,69.2167,-51.1,9.01,66,75,2.57,GL,2024-06-27
116,vize,41.5725,27.7658,20.02,79,0,5.12,TR,2024-06-27
117,kismayo,-0.3582,42.5454,25.17,81,35,8.12,SO,2024-06-27
118,lobujya,27.95,86.8167,4.25,96,100,2.34,NP,2024-06-27
119,mongoumba,3.6415,18.5936,22.58,83,47,0.81,CF,2024-06-27
120,arnemuiden,51.5,3.6761,18.32,71,66,11.83,NL,2024-06-27
121,flying fish cove,-10.4217,105.6791,25.82,88,100,4.12,CX,2024-06-27
122,show low,34.2542,-110.0298,22.16,73,75,6.17,US,2024-06-27
123,garoowe,8.4054,48.4845,26.4,59,41,12.4,SO,2024-06-27
124,pacocha,-17.5833,-71.3333,17.08,77,40,3.09,PE,2024-06-27
125,utrik,11.2278,169.8474,28.03,76,19,7.84,MH,2024-06-27
126,kruisfontein,-34.0033,24.7314,14.99,46,0,3.27,ZA,2024-06-27
127,san agustin de valle fertil,-30.6335,-67.4682,17.51,16,100,1.1,AR,2024-06-27
128,dengzhou,37.8086,120.7508,20.11,72,0,2.89,CN,2024-06-27
129,avarua,-21.2078,-159.775,26.03,89,75,6.17,CK,2024-06-27
130,uturoa,-16.7333,-151.4333,26.51,77,15,10.59,PF,2024-06-27
131,sinop,41.7711,34.8709,15.42,50,0,3.68,TR,2024-06-27
132,puerto lempira,15.2667,-83.7667,27.08,78,75,0.0,HN,2024-06-27
133,kapa'a,22.0752,-159.319,28.18,70,40,6.17,US,2024-06-27
134,maumere,-8.6199,122.2111,24.58,87,86,1.64,ID,2024-06-27
135,kalengwa,-13.4659,25.0027,13.73,54,55,2.55,ZM,2024-06-27
136,tofol,5.3248,163.0078,28.81,76,68,4.68,FM,2024-06-27
137,kourou,5.1552,-52.6478,29.03,84,12,2.73,GF,2024-06-27
138,soure,-0.7167,-48.5233,25.99,86,67,3.33,BR,2024-06-27
139,wailua homesteads,22.0669,-159.378,27.44,72,40,6.17,US,2024-06-27
140,arauco,-37.2463,-73.3175,8.87,83,4,3.33,CL,2024-06-27
141,gaigeturi,33.4644,126.3183,21.03,100,75,1.03,KR,2024-06-27
142,arenapolis,-14.4503,-56.8461,24.1,40,36,0.47,BR,2024-06-27
143,bathsheba,13.2167,-59.5167,29.34,79,75,7.72,BB,2024-06-27
144,chernyshevsk,52.5243,117.0174,17.76,79,100,4.32,RU,2024-06-27
145,malango,-2.9627,119.9001,18.46,89,73,1.14,ID,2024-06-27
146,zagora,30.3484,-5.8365,28.96,13,0,9.6,MA,2024-06-27
147,kralendijk,12.15,-68.2667,31.99,58,20,8.23,BQ,2024-06-27
148,portland,45.5234,-122.6762,21.17,61,75,3.13,US,2024-06-27
149,sumenep,-7.0167,113.8667,25.59,85,79,3.83,ID,2024-06-27
150,matoury,4.8483,-52.3317,29.98,70,0,5.14,GF,2024-06-27
151,puerto aysen,-45.4,-72.7,4.42,100,100,1.91,CL,2024-06-27
152,fale old settlement,-9.3852,-171.2468,28.24,77,43,6.84,TK,2024-06-27
153,isangel,-19.55,169.2667,23.37,63,50,4.69,VU,2024-06-27
154,priob'ye,62.5206,65.5964,10.14,86,100,5.02,RU,2024-06-27
155,tolanaro,-25.0319,46.9987,18.04,82,20,4.12,MG,2024-06-27
156,aleksandrov gay,50.147,48.5704,17.41,71,100,4.29,RU,2024-06-27
157,acapulco de juarez,16.8634,-99.8901,30.9,66,75,6.17,MX,2024-06-27
158,pangody,65.85,74.4859,12.41,78,89,4.81,RU,2024-06-27
159,east london,-33.0153,27.9116,17.08,76,0,4.3,ZA,2024-06-27
160,hafar al-batin,28.4328,45.9708,34.32,11,0,2.06,SA,2024-06-27
161,aripuana,-9.1667,-60.6333,27.65,41,7,0.42,BR,2024-06-27
162,port blair,11.6667,92.75,26.02,100,75,1.03,IN,2024-06-27
163,el granada,37.5027,-122.4694,26.64,60,20,9.77,US,2024-06-27
164,parkent,41.2944,69.6764,28.9,33,72,4.27,UZ,2024-06-27
165,pokhara,28.2333,83.9833,22.23,85,97,0.93,NP,2024-06-27
166,remire-montjoly,4.9167,-52.2667,29.02,74,0,3.6,GF,2024-06-27
167,mendi,-6.1761,143.6513,14.91,90,52,1.01,PG,2024-06-27
168,sarykemer,43.0,71.5,26.71,30,48,3.14,KZ,2024-06-27
169,yichun,47.7,128.9,19.76,93,36,1.78,CN,2024-06-27
170,puerto cortez,15.8333,-87.95,34.19,77,100,3.94,HN,2024-06-27
171,bayganin,48.6947,55.8742,14.41,85,100,3.5,KZ,2024-06-27
172,crane,31.3974,-102.3501,37.66,22,8,8.51,US,2024-06-27
173,taiynsha,53.8478,69.7639,20.17,59,98,1.08,KZ,2024-06-27
174,guatire,10.4762,-66.5427,25.08,90,41,1.4,VE,2024-06-27
175,marco island,25.9363,-81.7157,32.22,69,53,3.97,US,2024-06-27
176,broome,42.2506,-75.833,21.41,66,75,6.17,US,2024-06-27
177,pimentel,-6.8367,-79.9342,21.16,73,20,6.69,PE,2024-06-27
178,araxa,-19.5933,-46.9406,23.98,43,40,2.57,BR,2024-06-27
179,karachi,24.9056,67.0822,28.9,74,75,0.0,PK,2024-06-27
180,sturgis,41.7992,-85.4192,23.37,53,0,2.57,US,2024-06-27
181,illapel,-31.6308,-71.1653,12.19,74,100,1.45,CL,2024-06-27
182,santa ana,33.7456,-117.8678,32.92,56,0,4.12,US,2024-06-27
